"","DATETIME","preclose","open","high","low","last","volume","amount"
"292",2017-03-23 09:41:57,9.16,9.16,9.22,9.15,9.2,6551394,60180808
"293",2017-03-23 09:42:00,9.16,9.16,9.22,9.15,9.21,6552594,60191849
"294",2017-03-23 09:42:03,9.16,9.16,9.22,9.15,9.21,6555094,60214870
"295",2017-03-23 09:42:06,9.16,9.16,9.22,9.15,9.21,6555094,60214870
"296",2017-03-23 09:42:09,9.16,9.16,9.22,9.15,9.21,6556094,60224080
"297",2017-03-23 09:42:12,9.16,9.16,9.22,9.15,9.21,6558894,60249848
"298",2017-03-23 09:42:15,9.16,9.16,9.22,9.15,9.21,6563094,60288490
"299",2017-03-23 09:42:18,9.16,9.16,9.22,9.15,9.21,6563994,60296779
"300",2017-03-23 09:42:21,9.16,9.16,9.22,9.15,9.2,6566994,60324379
"301",2017-03-23 09:42:24,9.16,9.16,9.22,9.15,9.2,6566994,60324379
"302",2017-03-23 09:42:27,9.16,9.16,9.22,9.15,9.2,6580694,60450531
"303",2017-03-23 09:42:30,9.16,9.16,9.22,9.15,9.2,6586194,60501181
"304",2017-03-23 09:42:33,9.16,9.16,9.22,9.15,9.2,6586194,60501181
"305",2017-03-23 09:42:36,9.16,9.16,9.22,9.15,9.21,6588694,60524206
"306",2017-03-23 09:42:39,9.16,9.16,9.22,9.15,9.2,6590694,60542606
"307",2017-03-23 09:42:42,9.16,9.16,9.22,9.15,9.21,6601094,60638385
"308",2017-03-23 09:42:45,9.16,9.16,9.22,9.15,9.21,6610494,60724959
"309",2017-03-23 09:42:48,9.16,9.16,9.22,9.15,9.21,6624694,60855615
"310",2017-03-23 09:42:51,9.16,9.16,9.22,9.15,9.21,6624694,60855615
"311",2017-03-23 09:42:54,9.16,9.16,9.22,9.15,9.21,6624694,60855615
"312",2017-03-23 09:42:57,9.16,9.16,9.22,9.15,9.2,6634694,60947615
"313",2017-03-23 09:43:00,9.16,9.16,9.22,9.15,9.2,6634694,60947615
"314",2017-03-23 09:43:03,9.16,9.16,9.22,9.15,9.2,6635794,60957735
"315",2017-03-23 09:43:06,9.16,9.16,9.22,9.15,9.21,6643694,61030494
"316",2017-03-23 09:43:09,9.16,9.16,9.22,9.15,9.21,6663694,61214694
"317",2017-03-23 09:43:12,9.16,9.16,9.22,9.15,9.21,6668694,61260744
"318",2017-03-23 09:43:15,9.16,9.16,9.22,9.15,9.21,6675694,61325214
"319",2017-03-23 09:43:18,9.16,9.16,9.22,9.15,9.21,6679094,61356528
"320",2017-03-23 09:43:21,9.16,9.16,9.22,9.15,9.21,6679294,61358370
"321",2017-03-23 09:43:24,9.16,9.16,9.22,9.15,9.2,6690894,61465205
"322",2017-03-23 09:43:27,9.16,9.16,9.22,9.15,9.2,6707194,61615218
"323",2017-03-23 09:43:30,9.16,9.16,9.22,9.15,9.21,6707294,61616139
"324",2017-03-23 09:43:33,9.16,9.16,9.22,9.15,9.21,6708694,61629023
"325",2017-03-23 09:43:36,9.16,9.16,9.22,9.15,9.21,6716594,61701780
"326",2017-03-23 09:43:39,9.16,9.16,9.22,9.15,9.21,6716694,61702701
"327",2017-03-23 09:43:42,9.16,9.16,9.22,9.15,9.21,6785094,62332065
"328",2017-03-23 09:43:45,9.16,9.16,9.22,9.15,9.21,6787194,62351395
"329",2017-03-23 09:43:48,9.16,9.16,9.22,9.15,9.21,6811194,62572425
"330",2017-03-23 09:43:51,9.16,9.16,9.22,9.15,9.2,6811994,62579792
"331",2017-03-23 09:43:54,9.16,9.16,9.22,9.15,9.2,6820494,62658067
"332",2017-03-23 09:43:57,9.16,9.16,9.22,9.15,9.21,6831894,62763061
"333",2017-03-23 09:44:00,9.16,9.16,9.22,9.15,9.21,6832294,62766744
"334",2017-03-23 09:44:03,9.16,9.16,9.22,9.15,9.21,6852294,62950944
"335",2017-03-23 09:44:06,9.16,9.16,9.22,9.15,9.2,6869494,63109236
"336",2017-03-23 09:44:09,9.16,9.16,9.22,9.15,9.21,6874194,63152523
"337",2017-03-23 09:44:12,9.16,9.16,9.22,9.15,9.21,6885594,63257501
"338",2017-03-23 09:44:15,9.16,9.16,9.22,9.15,9.21,6887594,63275921
"339",2017-03-23 09:44:18,9.16,9.16,9.22,9.15,9.2,6889694,63295241
"340",2017-03-23 09:44:21,9.16,9.16,9.22,9.15,9.21,6892694,63322851
"341",2017-03-23 09:44:24,9.16,9.16,9.22,9.15,9.21,6905994,63445344
